date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:50:38	104631/104631	---MCZ	200	added ('OK')	text/html	date:Mon,%2026%20Oct%202020%2020:11:51%20GMT	https://retrina.com/demo/arshia/arshia/cv/particle-02.html	C:/Users/USER/Desktop/DU%20banner/my%20portfolio/retrina.com/demo/arshia/arshia/cv/particle-02.html	(from )
22:50:39	132/132	---MCZ	200	added ('OK')	text/plain	date:Sat,%2011%20Nov%202023%2013:04:41%20GMT	https://retrina.com/robots.txt		(from )
22:50:39	2564/2564	---MCZ	200	added ('OK')	image/x-icon	date:Thu,%2026%20Dec%202019%2002:36:52%20GMT	https://retrina.com/demo/arshia/arshia/cv/assets/img/favicon.ico	C:/Users/USER/Desktop/DU%20banner/my%20portfolio/retrina.com/demo/arshia/arshia/cv/assets/img/favicon.ico	(from https://retrina.com/demo/arshia/arshia/cv/particle-02.html)
22:50:40	31000/31000	---MCZ	200	added ('OK')	text/css	date:Fri,%2008%20Dec%202017%2010:45:40%20GMT	https://retrina.com/demo/arshia/arshia/cv/assets/css/font-awesome.min.css	C:/Users/USER/Desktop/DU%20banner/my%20portfolio/retrina.com/demo/arshia/arshia/cv/assets/css/font-awesome.min.css	(from https://retrina.com/demo/arshia/arshia/cv/particle-02.html)
22:50:40	31420/31420	---MCZ	200	added ('OK')	text/css	date:Thu,%2012%20Sep%202019%2001:43:36%20GMT	https://retrina.com/demo/arshia/arshia/cv/assets/css/LineIcons.css	C:/Users/USER/Desktop/DU%20banner/my%20portfolio/retrina.com/demo/arshia/arshia/cv/assets/css/LineIcons.css	(from https://retrina.com/demo/arshia/arshia/cv/particle-02.html)
22:50:41	192306/192306	---MCZ	200	added ('OK')	text/css	date:Sun,%2018%20Oct%202020%2006:57:32%20GMT	https://retrina.com/demo/arshia/arshia/cv/assets/css/bootstrap.css	C:/Users/USER/Desktop/DU%20banner/my%20portfolio/retrina.com/demo/arshia/arshia/cv/assets/css/bootstrap.css	(from https://retrina.com/demo/arshia/arshia/cv/particle-02.html)
22:50:41	3351/3351	---MCZ	200	added ('OK')	text/css	date:Fri,%2020%20Apr%202018%2018:52:10%20GMT	https://retrina.com/demo/arshia/arshia/cv/assets/css/owl.carousel.min.css	C:/Users/USER/Desktop/DU%20banner/my%20portfolio/retrina.com/demo/arshia/arshia/cv/assets/css/owl.carousel.min.css	(from https://retrina.com/demo/arshia/arshia/cv/particle-02.html)
22:50:41	6951/6951	---MCZ	200	added ('OK')	text/css	date:Sat,%2020%20Feb%202016%2014:36:30%20GMT	https://retrina.com/demo/arshia/arshia/cv/assets/css/magnific-popup.css	C:/Users/USER/Desktop/DU%20banner/my%20portfolio/retrina.com/demo/arshia/arshia/cv/assets/css/magnific-popup.css	(from https://retrina.com/demo/arshia/arshia/cv/particle-02.html)
22:50:41	2035/2035	---MCZ	200	added ('OK')	text/css	date:Mon,%2026%20Oct%202020%2008:06:47%20GMT	https://retrina.com/demo/arshia/arshia/cv/assets/css/color/sky-blue-color.css	C:/Users/USER/Desktop/DU%20banner/my%20portfolio/retrina.com/demo/arshia/arshia/cv/assets/css/color/sky-blue-color.css	(from https://retrina.com/demo/arshia/arshia/cv/particle-02.html)
22:50:42	51531/51531	---MCZ	200	added ('OK')	text/css	date:Mon,%2026%20Oct%202020%2009:53:21%20GMT	https://retrina.com/demo/arshia/arshia/cv/assets/css/main.css	C:/Users/USER/Desktop/DU%20banner/my%20portfolio/retrina.com/demo/arshia/arshia/cv/assets/css/main.css	(from https://retrina.com/demo/arshia/arshia/cv/particle-02.html)
22:50:42	29109/29109	---M--	200	added ('OK')	image/jpeg	date:Wed,%2026%20Feb%202020%2008:35:18%20GMT	https://retrina.com/demo/arshia/arshia/cv/assets/img/portfolio-15.jpg	C:/Users/USER/Desktop/DU%20banner/my%20portfolio/retrina.com/demo/arshia/arshia/cv/assets/img/portfolio-15.jpg	(from https://retrina.com/demo/arshia/arshia/cv/particle-02.html)
22:50:42	24056/24056	---MCZ	200	added ('OK')	text/html	date:Mon,%2026%20Oct%202020%2007:13:15%20GMT	https://retrina.com/demo/arshia/arshia/cv/blog.html	C:/Users/USER/Desktop/DU%20banner/my%20portfolio/retrina.com/demo/arshia/arshia/cv/blog.html	(from https://retrina.com/demo/arshia/arshia/cv/particle-02.html)
22:50:43	24754/24754	---M--	200	added ('OK')	image/jpeg	date:Wed,%2026%20Feb%202020%2008:34:38%20GMT	https://retrina.com/demo/arshia/arshia/cv/assets/img/blog-01.jpg	C:/Users/USER/Desktop/DU%20banner/my%20portfolio/retrina.com/demo/arshia/arshia/cv/assets/img/blog-01.jpg	(from https://retrina.com/demo/arshia/arshia/cv/particle-02.html)
22:50:43	50145/50145	---M--	200	added ('OK')	image/png	date:Wed,%2026%20Feb%202020%2009:00:52%20GMT	https://retrina.com/demo/arshia/arshia/cv/assets/img/client-02.png	C:/Users/USER/Desktop/DU%20banner/my%20portfolio/retrina.com/demo/arshia/arshia/cv/assets/img/client-02.png	(from https://retrina.com/demo/arshia/arshia/cv/particle-02.html)
22:50:43	59616/59616	---M--	200	added ('OK')	image/png	date:Wed,%2026%20Feb%202020%2009:00:52%20GMT	https://retrina.com/demo/arshia/arshia/cv/assets/img/client-03.png	C:/Users/USER/Desktop/DU%20banner/my%20portfolio/retrina.com/demo/arshia/arshia/cv/assets/img/client-03.png	(from https://retrina.com/demo/arshia/arshia/cv/particle-02.html)
22:50:43	46603/46603	---M--	200	added ('OK')	image/png	date:Wed,%2026%20Feb%202020%2009:00:50%20GMT	https://retrina.com/demo/arshia/arshia/cv/assets/img/client-01.png	C:/Users/USER/Desktop/DU%20banner/my%20portfolio/retrina.com/demo/arshia/arshia/cv/assets/img/client-01.png	(from https://retrina.com/demo/arshia/arshia/cv/particle-02.html)
22:50:44	207342/207342	---M--	200	added ('OK')	image/png	date:Sun,%2026%20Apr%202020%2006:56:20%20GMT	https://retrina.com/demo/arshia/arshia/cv/assets/img/about-02.png	C:/Users/USER/Desktop/DU%20banner/my%20portfolio/retrina.com/demo/arshia/arshia/cv/assets/img/about-02.png	(from https://retrina.com/demo/arshia/arshia/cv/particle-02.html)
22:50:44	7552/7552	---M--	200	added ('OK')	image/png	date:Sun,%2026%20Jan%202020%2014:44:06%20GMT	https://retrina.com/demo/arshia/arshia/cv/assets/img/client-04.png	C:/Users/USER/Desktop/DU%20banner/my%20portfolio/retrina.com/demo/arshia/arshia/cv/assets/img/client-04.png	(from https://retrina.com/demo/arshia/arshia/cv/particle-02.html)
22:50:44	16962/16962	---M--	200	added ('OK')	image/jpeg	date:Wed,%2026%20Feb%202020%2008:34:58%20GMT	https://retrina.com/demo/arshia/arshia/cv/assets/img/portfolio-10.jpg	C:/Users/USER/Desktop/DU%20banner/my%20portfolio/retrina.com/demo/arshia/arshia/cv/assets/img/portfolio-10.jpg	(from https://retrina.com/demo/arshia/arshia/cv/particle-02.html)
22:50:44	11869/11869	---M--	200	added ('OK')	image/jpeg	date:Wed,%2026%20Feb%202020%2008:35:08%20GMT	https://retrina.com/demo/arshia/arshia/cv/assets/img/portfolio-11.jpg	C:/Users/USER/Desktop/DU%20banner/my%20portfolio/retrina.com/demo/arshia/arshia/cv/assets/img/portfolio-11.jpg	(from https://retrina.com/demo/arshia/arshia/cv/particle-02.html)
22:50:45	18376/18376	---M--	200	added ('OK')	image/jpeg	date:Wed,%2026%20Feb%202020%2008:34:58%20GMT	https://retrina.com/demo/arshia/arshia/cv/assets/img/portfolio-12.jpg	C:/Users/USER/Desktop/DU%20banner/my%20portfolio/retrina.com/demo/arshia/arshia/cv/assets/img/portfolio-12.jpg	(from https://retrina.com/demo/arshia/arshia/cv/particle-02.html)
22:50:45	13300/13300	---M--	200	added ('OK')	image/jpeg	date:Wed,%2026%20Feb%202020%2008:35:04%20GMT	https://retrina.com/demo/arshia/arshia/cv/assets/img/portfolio-13.jpg	C:/Users/USER/Desktop/DU%20banner/my%20portfolio/retrina.com/demo/arshia/arshia/cv/assets/img/portfolio-13.jpg	(from https://retrina.com/demo/arshia/arshia/cv/particle-02.html)
22:50:45	17077/17077	---M--	200	added ('OK')	image/jpeg	date:Wed,%2026%20Feb%202020%2008:35:14%20GMT	https://retrina.com/demo/arshia/arshia/cv/assets/img/portfolio-14.jpg	C:/Users/USER/Desktop/DU%20banner/my%20portfolio/retrina.com/demo/arshia/arshia/cv/assets/img/portfolio-14.jpg	(from https://retrina.com/demo/arshia/arshia/cv/particle-02.html)
22:50:45	26679/26679	---M--	200	added ('OK')	image/jpeg	date:Wed,%2026%20Feb%202020%2008:35:20%20GMT	https://retrina.com/demo/arshia/arshia/cv/assets/img/portfolio-16.jpg	C:/Users/USER/Desktop/DU%20banner/my%20portfolio/retrina.com/demo/arshia/arshia/cv/assets/img/portfolio-16.jpg	(from https://retrina.com/demo/arshia/arshia/cv/particle-02.html)
22:50:46	14470/14470	---M--	200	added ('OK')	image/jpeg	date:Wed,%2026%20Feb%202020%2008:35:22%20GMT	https://retrina.com/demo/arshia/arshia/cv/assets/img/portfolio-17.jpg	C:/Users/USER/Desktop/DU%20banner/my%20portfolio/retrina.com/demo/arshia/arshia/cv/assets/img/portfolio-17.jpg	(from https://retrina.com/demo/arshia/arshia/cv/particle-02.html)
22:50:46	21369/21369	---M--	200	added ('OK')	image/jpeg	date:Wed,%2026%20Feb%202020%2008:35:24%20GMT	https://retrina.com/demo/arshia/arshia/cv/assets/img/portfolio-18.jpg	C:/Users/USER/Desktop/DU%20banner/my%20portfolio/retrina.com/demo/arshia/arshia/cv/assets/img/portfolio-18.jpg	(from https://retrina.com/demo/arshia/arshia/cv/particle-02.html)
